title,episodes,released_date,end_date,producer_id,rating,studio
Kimi no Na wa.,TV,2010-12-26,2016-01-15,25,4.24,Kyoto Animation 
Fullmetal Alchemist: Brotherhood,40,2001-01-18,2016-01-11,1,4.78,Studio Nue
Steins Gate,OVA,2001-11-11,2016-12-05,8,6.15,Pierrot 
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,26,2012-09-16,2016-09-23,20,2.49,Studio Nue
Hunter x Hunter (2011),OVA,1996-07-06,2016-10-11,9,7.98,Kyoto Animation 
Ginga Eiyuu Densetsu,35,2002-06-11,2016-10-11,22,4.67,Imagin 
Gintama Movie:Kanketsu-hen - Yorozuya yo Eien Nare,42,2006-04-02,2016-11-12,24,9.51,Kyoto Animation 
Clannad:After Story,OVA,2008-08-05,2016-04-11,11,5.89,Kyoto Animation 
Code Geass:Hangyaku no Lelouch R2,OVA,2001-02-21,2016-01-25,19,9.38,Kyoto Animation 
Haikyuu!! Second Season,31,2006-01-08,2016-09-26,27,3.81,GoHands
Sen to Chihiro no Kamikakushi,5,1996-02-01,2016-04-04,21,6.38,Kyoto Animation 
Shigatsu wa Kimi no Uso,OVA,2013-06-06,2016-03-24,3,9.15,Anime International Company Inc.
Mushishi Zoku Shou 2nd Season,TV,2000-05-16,2016-11-10,20,9.26,Mushi Production
Ookami Kodomo no Ame to Yuki,Movie,1997-06-05,2016-03-19,17,4.39,Studio Nue
Code Geass: Hangyaku no Lelouch,TV,1998-04-11,2016-12-05,30,5.95,Studio Nue
Hajime no Ippo,TV,2015-08-26,2018-11-05,8,4.45,Studio Nue
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,2002-11-22,2016-06-25,26,7.32,Mushi Production
Cowboy Bebop,OVA,1998-11-17,2016-01-20,28,0.67,GoHands
One Punch Man,19,2003-05-28,2016-05-12,6,9.93,Pierrot 
Mononoke Hime,Movie,2002-10-27,2016-07-04,19,6.87,Pierrot 
Suzumiya Haruhi no Shoushitsu,23,2001-03-17,2016-07-28,9,4.98,Studio Gokumi
Monogatari Series: Second Season,44,2015-09-21,2020-11-19,9,8.02,Studio Live
Mushishi Zoku Shou,OVA,2015-05-16,2017-05-08,11,2.61,Studio Ghibli
Mushishi,Movie,1997-02-02,2016-04-17,19,5.09,Magic Bus
Tengen Toppa Gurren Lagann,OVA,2015-09-12,2019-04-22,7,4.96,Studio Hibari
Great Teacher Onizuka,14,2009-09-02,2016-12-12,11,0.69,Mushi Production
Natsume Yuujinchou Go,OVA,2002-11-07,2016-09-25,27,5.14,P.A.Works
Hajime no Ippo: New Challenger,1,2007-11-18,2016-11-17,20,1.34,Studio Live
Mushishi Zoku Shou: Suzu no Shizuku,36,2009-05-03,2016-11-11,12,5.69,Studio Ghibli
Natsume Yuujinchou Shi,14,2011-06-28,2016-10-17,12,5.93,Studio Nue
Howl no Ugoku Shiro,TV,1997-11-17,2016-05-15,1,1.64,P.A.Works
Fate/Zero 2nd Season,OVA,2013-05-10,2018-09-14,3,6.0,Mushi Production
Kizumonogatari II: Nekketsu-hen,24,2009-11-23,2016-01-06,27,9.3,Studio Gokumi
Monster,Movie,1998-08-12,2016-09-04,3,9.92,Kyoto Animation 
Bakuman. 3rd Season,OVA,2016-01-20,2016-10-16,10,5.01,Kyoto Animation 
Death Note,13,2001-05-14,2016-06-07,3,9.68,Studio Ghibli
Gintama°: Aizome Kaori-hen,16,2007-10-01,2016-12-23,22,7.12,Studio Live
