anime_id,name,description
1,Adventure,
1,Horror,
1,Drama,
1,Mystery,
1,Shounen,
1,Demons,
1,Yaoi,
2,Military,
2,Comedy,
2,Mystery,
2,Military,
2,Sci-Fi,
3,Military,
3,Slice of Life,
3,Action,
3,Shounen,
3,Parody,
3,Mecha,
4,Military,
4,Horror,
4,Demons,
4,Drama,
4,Super Power,
5,Supernatural,
5,Horror,
5,Psychological,
5,Romance,
6,Mystery,
6,Mecha,
6,Horror,
6,Shounen,
6,Action,
7,Fantasy,
7,Romance,
7,Demons,
7,Music,
7,Vampire,
8,Horror,
8,Psychological,
8,Romance,
8,Mecha,
9,Demons,
9,Demons,
9,Slice of Life,
9,Sci-Fi,
9,Action,
10,Supernatural,
10,Seinen,
10,Mecha,
10,Slice of Life,
10,Mecha,
10,Historical,
11,Demons,
11,Yaoi,
11,Yaoi,
11,Shounen,
11,Mystery,
12,Slice of Life,
12,Mystery,
13,Sci-Fi,
13,Super Power,
13,Adventure,
14,Vampire,
14,School,
14,Yaoi,
14,Romance,
15,Action,
15,Mecha,
15,Super Power,
15,Music,
15,Super Power,
15,Drama,
15,Fantasy,
16,Comedy,
16,Historical,
17,Shounen,
17,Mystery,
17,Parody,
17,Demons,
17,Music,
17,Samurai,
18,Yaoi,
18,Shoujo,
18,Action,
18,Comedy,
19,Vampire,
19,Parody,
19,Parody,
20,Fantasy,
20,Sci-Fi,
21,Shounen,
21,Mystery,
21,Romance,
21,Samurai,
21,Shounen,
22,Historical,
22,Psychological,
23,Fantasy,
23,Sci-Fi,
23,Romance,
24,Drama,
24,Fantasy,
24,Horror,
24,Fantasy,
25,Romance,
25,Drama,
25,Seinen,
25,Mecha,
25,Samurai,
25,Military,
25,Horror,
26,Super Power,
26,Shounen,
27,Horror,
27,Action,
27,Mystery,
27,Horror,
27,Music,
27,Shoujo,
27,Adventure,
28,Romance,
28,Historical,
28,School,
29,Yaoi,
29,Shounen,
29,Music,
29,Horror,
30,Supernatural,
30,Slice of Life,
30,Adventure,
31,Mecha,
31,Drama,
32,Romance,
32,Samurai,
32,Comedy,
32,Psychological,
32,Supernatural,
32,Romance,
33,Shounen,
33,Shounen,
34,Mystery,
34,Fantasy,
34,Action,
34,Psychological,
34,Military,
34,Mystery,
34,Historical,
35,Slice of Life,
35,Mecha,
36,Parody,
36,Horror,
36,Vampire,
36,Military,
37,Romance,
37,Supernatural,
37,Music,
37,Mystery,
38,Fantasy,
38,Shounen,
38,Music,
38,Super Power,
39,Historical,
39,Horror,
39,Yaoi,
39,Seinen,
39,School,
39,Seinen,
39,Romance,
40,Romance,
40,Seinen,
40,Sci-Fi,
40,Fantasy,
40,Shounen,
40,Drama,
40,Vampire,
41,Mecha,
41,Horror,
41,Horror,
41,Samurai,
41,Super Power,
41,Shoujo,
41,Shoujo,
42,Mystery,
42,Historical,
42,Shoujo,
43,Romance,
43,Samurai,
44,Military,
44,Super Power,
44,Military,
45,Romance,
45,Historical,
45,Slice of Life,
45,Romance,
45,Super Power,
45,Sci-Fi,
45,Fantasy,
46,Military,
46,Slice of Life,
46,Supernatural,
47,Seinen,
47,Samurai,
48,Action,
48,Yaoi,
48,Horror,
48,Seinen,
48,Romance,
48,Vampire,
49,Horror,
49,Shoujo,
49,Drama,
50,Slice of Life,
50,Mystery,
50,Psychological,
50,Psychological,
51,Supernatural,
51,Romance,
51,Action,
51,Vampire,
51,Samurai,
52,Adventure,
52,Horror,
52,Parody,
52,Supernatural,
53,Psychological,
53,Super Power,
53,School,
53,Sci-Fi,
53,Action,
53,Samurai,
54,Mystery,
54,Psychological,
54,Historical,
54,Horror,
54,Demons,
54,Yaoi,
55,Adventure,
55,School,
55,Yaoi,
55,Mystery,
55,Samurai,
56,Military,
56,Slice of Life,
56,Yaoi,
56,Psychological,
56,Supernatural,
57,Romance,
57,School,
57,Mystery,
58,Supernatural,
58,Music,
58,Romance,
58,Action,
58,Horror,
58,Supernatural,
58,Fantasy,
59,Vampire,
59,Parody,
59,Vampire,
59,Fantasy,
60,Demons,
60,Slice of Life,
61,Demons,
61,School,
61,Mystery,
61,Sci-Fi,
61,Historical,
61,Yaoi,
62,School,
62,Horror,
62,Yaoi,
62,Supernatural,
62,Military,
62,Military,
62,Super Power,
63,Comedy,
63,Seinen,
63,Mystery,
63,Super Power,
63,Military,
63,Sci-Fi,
64,Yaoi,
64,Adventure,
64,Shounen,
64,Military,
64,School,
65,Parody,
65,Demons,
65,Slice of Life,
65,Romance,
65,Music,
66,Historical,
66,Sci-Fi,
66,Psychological,
66,Romance,
67,Psychological,
67,Action,
67,Mystery,
68,Music,
68,Romance,
69,Action,
69,Demons,
69,Shoujo,
69,Fantasy,
69,Drama,
70,Slice of Life,
70,Music,
71,Sci-Fi,
71,Vampire,
71,Music,
72,Shounen,
72,Mystery,
72,Yaoi,
72,Seinen,
73,Shounen,
73,Shounen,
73,Military,
74,Comedy,
74,Slice of Life,
74,Comedy,
74,Yaoi,
74,Action,
74,Fantasy,
74,Seinen,
75,Demons,
75,Psychological,
75,Adventure,
75,Sci-Fi,
75,Horror,
75,Romance,
76,Parody,
76,Romance,
76,Drama,
76,Samurai,
76,Action,
77,Military,
77,Historical,
78,Seinen,
78,Slice of Life,
78,Mecha,
79,Historical,
79,Sci-Fi,
79,Romance,
79,Horror,
79,Romance,
79,Demons,
80,Vampire,
80,Sci-Fi,
80,Yaoi,
80,Samurai,
80,Adventure,
81,Adventure,
81,Music,
81,Drama,
81,Music,
82,Horror,
82,Comedy,
82,Comedy,
82,Seinen,
82,Yaoi,
83,Shoujo,
83,Sci-Fi,
83,Psychological,
83,Parody,
84,Demons,
84,Psychological,
84,Supernatural,
84,Super Power,
85,Slice of Life,
85,Military,
85,Super Power,
85,Mecha,
85,Super Power,
86,Adventure,
86,Adventure,
86,Action,
86,Comedy,
87,Horror,
87,Parody,
88,School,
88,Horror,
89,Comedy,
89,Military,
89,Music,
90,Military,
90,Slice of Life,
90,Shoujo,
90,Psychological,
90,Seinen,
91,Comedy,
91,Military,
91,Drama,
91,Action,
91,Yaoi,
92,Action,
92,Historical,
92,Horror,
93,School,
93,Psychological,
93,Comedy,
93,Yaoi,
93,Yaoi,
93,Mecha,
94,Horror,
94,Romance,
95,Shoujo,
95,Supernatural,
95,Sci-Fi,
95,Demons,
96,Historical,
96,Supernatural,
97,Shoujo,
